Loan-ID,Gender,Married,Dependents,Education,Self_Employed,ApplicationIncome,CoapplicationIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property Area,Loan Status
1001,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
1002,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
1003,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
1004,Male,Yes,0,Not Graduate,No,2583,2358,12,360,1,Urban,Y
1005,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
1006,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
1007,Male,Yes,3+,Graduate,No,3036,2504,158,360,,Semiurban,N
1008,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
1009,Male,Yes,2,Graduate,No,3200,700,7,360,1,Urban,Y
1010,Male,Yes,2,Graduate,No,2500,1840,19,360,1,Urban,Y
1011,Male,Yes,2,Graduate,No,3073,8106,2,360,1,Urban,Y
1012,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
1015,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
1016,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
1017,Male,No,1,Not Graduate,No,3596,0,1,240,1,Urban,Y
1018,Female,No,0,Graduate,No,3510,0,76,360,,Urban,N
1019,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
1020,Male,Yes,0,Graduate,No,2600,3500,115,,1,Urban,Y
1021,Male,Yes,0,Not Graduate,No,7660,0,14,360,,Urban,N
1022,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
1023,Male,Yes,0,Not Graduate,No,2600,1911,116,360,,Semiurban,N
1024,Female,Yes,2,Not Graduate,No,3365,1917,112,360,,Rural,N
1025,Male,Yes,1,Graduate,No,3717,2925,151,360,1,Semiurban,N
1026,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
1027,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
1028,Male,Yes,2,Not Graduate,No,4226,1040,11,360,1,Urban,Y
1029,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
1030,Female,No,2,Graduate,No,3750,2083,12,360,1,Semiurban,Y
1031,Male,Yes,1,Graduate,No,4166,3369,21,360,1,Urban,N
1032,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
1033,Male,No,1,Graduate,Yes,4692,0,16,360,1,Rural,N
1034,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
1135,Male,No,3+,Graduate,No,12500,3000,32,360,1,Rural,N
1136,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
1137,Male,Yes,0,Graduate,No,1828,1330,1,,,Urban,N
1138,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
1139,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
1140,Male,No,0,Not Graduate,No,3748,1668,11,360,1,Semiurban,Y
1141,Male,No,0,Graduate,No,3600,0,8,360,1,Urban,N
1142,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
1143,Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,Y
1144,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
1145,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
1146,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
1147,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
1148,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
1149,Female,Yes,0,Graduate,No,2645,3440,12,360,,Urban,N
1150,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
1151,Female,Yes,0,Not Graduate,No,1928,1644,1,360,1,Semiurban,Y
1152,Female,No,0,Graduate,No,3086,0,12,360,1,Semiurban,Y
1153,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
1154,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
1155,Female,Yes,1,Graduate,Yes,11500,0,286,360,,Urban,N
1156,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
1157,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
1158,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
1159,Male,Yes,1,Graduate,No,8080,2250,18,360,1,Urban,Y
1160,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
1261,Male,Yes,0,Graduate,No,2500,3796,12,360,1,Urban,Y
1262,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
1263,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,,Rural,N
1264,Male,Yes,1,Graduate,No,4945,0,,360,,Rural,N
1265,Female,No,0,Graduate,No,4166,0,116,360,,Semiurban,N
1266,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
1267,Male,No,0,Not Graduate,No,3200,2254,126,180,,Urban,N
1268,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
1269,Male,Yes,3+,Not Graduate,Yes,7100,0,125,600,1,Urban,Y
1270,Female,No,0,Graduate,No,4300,0,136,360,,Semiurban,N
1271,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
1272,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
1273,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
1274,Male,Yes,3+,Not Graduate,No,4755,0,95,,,Semiurban,N
1275,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
1276,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
1277,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
1278,Male,Yes,1,Graduate,Yes,1000,3022,11,360,1,Urban,N
1279,Male,Yes,3+,Graduate,No,3167,4000,18,300,,Semiurban,N
